"Océanopolis, Brest ",,05h47 ,06h07 ,06h29 ,06h49 ,07h04 ,07h17 
"Port de Plaisance, Brest ",,05h48 ,06h08 ,06h30 ,06h50 ,07h05 ,07h18 
"Palaren, Guipavas ",,05h49 ,06h09 ,06h31 ,06h51 ,07h06 ,07h19 
"Landelle, Brest ",,05h50 ,06h10 ,06h32 ,06h52 ,07h07 ,07h20 
"Le Goffic, Brest ",,05h50 ,06h10 ,06h33 ,06h53 ,07h08 ,07h21 
"Bernard, Brest ",,05h51 ,06h11 ,06h33 ,06h53 ,07h08 ,07h21 
"Kerisbian, Brest ",,05h51 ,06h11 ,06h34 ,06h54 ,07h09 ,07h22 
"St Marc, Brest ",,05h52 ,06h12 ,06h35 ,06h55 ,07h10 ,07h23 
"Dixmude, Brest ",,05h53 ,06h13 ,06h36 ,06h56 ,07h11 ,07h24 
"Brazza, Brest ",,05h54 ,06h14 ,06h37 ,06h57 ,07h12 ,07h25 
"Maleyssie, Brest ",,05h54 ,06h14 ,06h38 ,06h58 ,07h13 ,07h26 
"D'estrées, Brest ",,05h55 ,06h15 ,06h39 ,06h59 ,07h14 ,07h27 
"Guynemer, Brest ",,05h55 ,06h15 ,06h39 ,06h59 ,07h14 ,07h27 
"Rodin, Brest ",,05h56 ,06h16 ,06h40 ,07h00 ,07h15 ,07h28 
"Douric, Brest ",,05h57 ,06h17 ,06h40 ,07h00 ,07h15 ,07h29 
"Poul-ar-Bachet, Brest ",,05h58 ,06h18 ,06h42 ,07h02 ,07h17 ,07h31 
"Octroi, Brest ",,05h59 ,06h19 ,06h43 ,07h03 ,07h18 ,07h32 
"Richelieu, Brest ",,06h00 ,06h20 ,06h44 ,07h04 ,07h19 ,07h33 
"Sanquer, Brest ",,06h01 ,06h21 ,06h45 ,07h05 ,07h20 ,07h35 
"Sané, Brest ",,06h02 ,06h22 ,06h46 ,07h06 ,07h21 ,07h36 
"République, Brest ",,06h03 ,06h23 ,06h48 ,07h08 ,07h23 ,07h38 
"Gambetta gare, Brest ",,06h04 ,06h24 ,06h49 ,07h09 ,07h24 ,07h39 
"Liberté Quartz, Brest ",,06h05 ,06h25 ,06h50 ,07h10 ,07h25 ,07h40 
"Liberté Place, Brest ",,06h06 ,06h26 ,06h51 ,07h11 ,07h26 ,07h41 
"Hôtel de Ville, Brest ",,06h06 ,06h26 ,06h51 ,07h12 ,07h27 ,07h42 
"Malakoff, Brest ",,06h08 ,06h28 ,06h53 ,07h13 ,07h28 ,07h44 
"Albert 1er, Brest ",,06h09 ,06h29 ,06h54 ,07h15 ,07h30 ,07h46 
"Pasteur, Brest ",,06h11 ,06h31 ,06h56 ,07h17 ,07h32 ,07h48 
"Péguy, Brest ",,06h11 ,06h31 ,06h56 ,07h17 ,07h32 ,07h49 
"Kerinou, Brest ",,06h12 ,06h32 ,06h57 ,07h18 ,07h33 ,07h50 
"Keralloche, Brest ",,06h13 ,06h33 ,06h58 ,07h20 ,07h35 ,07h52 
"Gay Lussac, Brest ",,06h14 ,06h34 ,06h59 ,07h21 ,07h36 ,07h53 
"Grétry, Brest ",,06h15 ,06h35 ,07h00 ,07h22 ,07h37 ,07h54 
"Tréornou, Brest ",,06h16 ,06h36 ,07h01 ,07h23 ,07h38 ,07h55 
"Couperin, Brest ",,06h16 ,06h36 ,07h01 ,07h24 ,07h39 ,07h56 
"Berlioz, Brest ",,06h17 ,06h37 ,07h02 ,07h25 ,07h40 ,07h57 
"Place de Bretagne, Brest ",,06h18 ,06h38 ,07h04 ,07h27 ,07h42 ,07h59 
"Place des FFI, Brest ",,06h19 ,06h39 ,07h06 ,07h29 ,07h44 ,08h01 
"Chapalain, Brest ",,06h20 ,06h40 ,07h07 ,07h30 ,07h45 ,08h02 
"Giloux, Brest ",,06h21 ,06h41 ,07h07 ,07h30 ,07h45 ,08h02 
"Lambézellec, Brest ",,06h21 ,06h41 ,07h08 ,07h31 ,07h46 ,08h03 
