"Port de Commerce, Brest ",,05h48 ,06h18 ,06h47 ,07h05 ,07h21 ,07h40 
"La Carène, Brest ",,05h49 ,06h19 ,06h48 ,07h06 ,07h22 ,07h41 
"Les Iles, Brest ",,05h50 ,06h20 ,06h49 ,07h07 ,07h23 ,07h42 
"Port du Château, Brest ",,05h51 ,06h21 ,06h50 ,07h08 ,07h24 ,07h43 
"Rampes, Brest ",,05h52 ,06h22 ,06h51 ,07h09 ,07h25 ,07h44 
"Kennedy Gare, Brest ",,05h54 ,06h24 ,06h53 ,07h11 ,07h27 ,07h46 
"Liberté Quartz, Brest ",,05h55 ,06h25 ,06h54 ,07h12 ,07h29 ,07h48 
"Multiplexe, Brest ",,05h56 ,06h26 ,06h55 ,07h13 ,07h30 ,07h49 
"Harteloire, Brest ",,05h57 ,06h27 ,06h56 ,07h14 ,07h31 ,07h50 
"Coppin, Brest ",,05h58 ,06h28 ,06h57 ,07h15 ,07h32 ,07h51 
"Les Capucins, Brest ",,06h00 ,06h30 ,06h59 ,07h17 ,07h35 ,07h54 
"Landais (rue gallieni), Brest ",,06h01 ,06h31 ,07h00 ,07h18 ,07h37 ,07h55 
"Rte de Guilers, Brest ",,06h02 ,06h32 ,07h01 ,07h19 ,07h38 ,07h56 
"Beaumanoir, Brest ",,06h03 ,06h33 ,07h02 ,07h20 ,07h39 ,07h57 
"Polygone, Brest ",,06h03 ,06h33 ,07h02 ,07h20 ,07h40 ,07h58 
"Vali Hir, Brest ",,06h05 ,06h35 ,07h04 ,07h22 ,07h42 ,08h00 
"Kerfeunteun, Brest ",,06h06 ,06h36 ,07h05 ,07h23 ,07h43 ,08h01 
"Tallinn, Brest ",,06h07 ,06h37 ,07h06 ,07h24 ,07h44 ,08h02 
"Warspite, Brest ",,06h08 ,06h38 ,07h07 ,07h25 ,07h45 ,08h03 
"Schubert, Brest ",,06h09 ,06h39 ,07h08 ,07h26 ,07h46 ,08h04 
"Michel Ange, Brest ",,06h10 ,06h40 ,07h09 ,07h27 ,07h47 ,08h05 
"Kant, Brest ",,06h10 ,06h40 ,07h09 ,07h27 ,07h48 ,08h06 
"Amiral Ronarc'h, Brest ",,06h11 ,06h41 ,07h10 ,07h28 ,07h49 ,08h07 
"Le Greco, Brest ",,06h11 ,06h41 ,07h10 ,07h28 ,07h50 ,08h08 
"Prigent, Brest ",,06h12 ,06h42 ,07h11 ,07h29 ,07h51 ,08h09 
"Questel, Brest ",,06h13 ,06h43 ,07h12 ,07h30 ,07h52 ,08h10 
"Hôpital Cavale 2, Brest ",,06h14 ,06h44 ,07h13 ,07h31 ,07h53 ,08h11 
