"Provence, Brest ",,06h02 ,06h27 ,06h39 ,06h55 ,07h10 ,07h27 
"Gascogne, Brest ",,06h03 ,06h28 ,06h40 ,06h56 ,07h11 ,07h28 
"Dauphiné, Brest ",,06h04 ,06h29 ,06h41 ,06h57 ,07h12 ,07h29 
"Berry, Brest ",,06h04 ,06h29 ,06h41 ,06h57 ,07h13 ,07h30 
"Saintonge, Brest ",,06h05 ,06h30 ,06h42 ,06h58 ,07h14 ,07h31 
"Vendée, Brest ",,06h06 ,06h31 ,06h43 ,06h59 ,07h15 ,07h32 
"Patinoire, Brest ",,06h07 ,06h32 ,06h44 ,07h00 ,07h16 ,07h33 
"Normandie, Brest ",,06h08 ,06h33 ,06h45 ,07h01 ,07h17 ,07h34 
"Clauzel, Brest ",,06h09 ,06h34 ,06h46 ,07h02 ,07h18 ,07h35 
"Garnier, Brest ",,06h09 ,06h34 ,06h46 ,07h02 ,07h19 ,07h36 
"Kergoat, Brest ",,06h10 ,06h35 ,06h47 ,07h03 ,07h20 ,07h37 
"Duc D'aumale, Brest ",,06h11 ,06h36 ,06h48 ,07h04 ,07h20 ,07h38 
"Kermenguy, Brest ",,06h12 ,06h37 ,06h49 ,07h05 ,07h22 ,07h40 
"Bouguen, Brest ",,06h13 ,06h38 ,06h50 ,07h06 ,07h23 ,07h41 
"Ségur, Brest ",,06h14 ,06h39 ,06h52 ,07h08 ,07h25 ,07h43 
"Boulogne, Brest ",,06h16 ,06h41 ,06h54 ,07h10 ,07h27 ,07h45 
"Portzmoguer, Brest ",,06h17 ,06h42 ,06h56 ,07h12 ,07h29 ,07h47 
"CAF, Brest ",,06h18 ,06h43 ,06h57 ,07h13 ,07h30 ,07h48 
"Multiplexe, Brest ",,06h19 ,06h44 ,06h58 ,07h14 ,07h31 ,07h49 
"Liberté Quartz, Brest ",,06h20 ,06h45 ,06h59 ,07h15 ,07h32 ,07h50 
"Gambetta gare, Brest ",,06h21 ,06h46 ,07h00 ,07h16 ,07h33 ,07h51 
"République, Brest ",,06h22 ,06h47 ,07h01 ,07h17 ,07h34 ,07h52 
"Sané, Brest ",,06h23 ,06h48 ,07h02 ,07h18 ,07h36 ,07h53 
"Forestou, Brest ",,06h24 ,06h49 ,07h03 ,07h20 ,07h37 ,07h55 
"D'Estienne D'Orves, Brest ",,06h24 ,06h49 ,07h03 ,07h20 ,07h38 ,07h55 
"Guelmeur Eglise, Brest ",,06h25 ,06h50 ,07h04 ,07h21 ,07h39 ,07h56 
"Guynemer, Brest ",,06h26 ,06h51 ,07h05 ,07h22 ,07h41 ,07h57 
"Rodin, Brest ",,06h27 ,06h52 ,07h06 ,07h23 ,07h42 ,07h58 
"Lyautey, Brest ",,06h27 ,06h52 ,07h06 ,07h24 ,07h43 ,07h59 
"Strasbourg (Valmy), Brest ",,06h28 ,06h53 ,07h07 ,07h25 ,07h44 ,08h00 
"Strasbourg (rte de Paris), Brest ",,06h29 ,06h54 ,07h08 ,07h26 ,07h45 ,08h01 
"Pen ar Creach, Brest ",,06h29 ,06h54 ,07h08 ,07h26 ,07h45 ,08h01 
"Coq Hardi, Brest ",,06h30 ,06h55 ,07h09 ,07h27 ,07h46 ,08h02 
"Kerbernard, Brest ",,06h30 ,06h55 ,07h10 ,07h28 ,07h47 ,08h03 
"Pont Neuf, Brest ",,06h31 ,06h56 ,07h10 ,07h28 ,07h47 ,08h03 
"Kergonan, Brest ",,06h32 ,06h57 ,07h11 ,07h29 ,07h48 ,08h04 
"Coulomb, Brest ",,06h33 ,06h58 ,07h13 ,07h31 ,07h50 ,08h06 
"Villeneuve, Brest ",,06h34 ,06h59 ,07h14 ,07h32 ,07h51 ,08h07 
"Dourjacq, Brest ",,06h35 ,07h00 ,07h15 ,07h33 ,07h52 ,08h08 
"Choiseul, Brest ",,06h36 ,07h01 ,07h16 ,07h35 ,07h54 ,08h10 
"Kerichen Lesven, Brest ",,06h37 ,07h02 ,07h17 ,07h36 ,07h55 ,08h11 
"Jules Lesven, Brest ",,06h38 ,07h03 ,07h18 ,07h38 ,07h56 ,08h12 
"Croix Rouge, Brest ",,06h40 ,07h05 ,07h21 ,07h41 ,07h59 ,08h15 
"Pen-ar-menez, Brest ",,06h41 ,07h06 ,07h22 ,07h43 ,08h00 ,08h16 
"Place de Bretagne, Brest ",,06h42 ,07h07 ,07h24 ,07h45 ,08h02 ,08h18 
"Place des FFI, Brest ",,06h44 ,07h09 ,07h25 ,07h47 ,08h03 ,08h19 
"Chapalain, Brest ",,06h44 ,07h09 ,07h26 ,07h48 ,08h04 ,08h20 
"Giloux, Brest ",,06h45 ,07h10 ,07h26 ,07h49 ,08h04 ,08h20 
"Lambézellec, Brest ",,06h45 ,07h10 ,07h27 ,07h50 ,08h05 ,08h21 
"St Vincent, Brest ",,06h46 ,07h11 ,07h28 ,07h51 ,08h06 ,08h22 
"Lanroze, Brest ",,06h47 ,07h12 ,07h29 ,07h52 ,08h07 ,08h23 
"Dunant, Brest ",,06h47 ,07h12 ,07h29 ,07h53 ,08h08 ,08h24 
"Broussais, Brest ",,06h48 ,07h13 ,07h30 ,07h54 ,08h09 ,08h25 
"Baudot, Brest ",,06h49 ,07h14 ,07h31 ,07h55 ,08h10 ,08h26 
"Poul Ar Feunteun, Brest ",,06h50 ,07h15 ,07h32 ,07h56 ,08h11 ,08h27 
"Niepce, Brest ",,06h51 ,07h16 ,07h33 ,07h57 ,08h12 ,08h28 
"Keraudren, Brest ",,06h52 ,07h17 ,07h35 ,07h59 ,08h14 ,08h30 
"Keruchen, Brest ",,06h54 ,07h19 ,07h36 ,08h00 ,08h15 ,08h31 
"Lagadec, Gouesnou ",,06h54 ,07h19 ,07h37 ,08h01 ,08h16 ,08h32 
"Porte de Gouesnou, Gouesnou ",,06h56 ,07h21 ,07h39 ,08h03 ,08h18 ,08h34 
